source,target,weight
L000589,S000929,2
L000589,W000806,5
C001039,L000589,6
L000589,M001177,5
G000596,L000589,4
L000589,M001219,2
L000585,L000589,6
L000589,S000522,2
B001282,L000589,5
L000589,P000599,8
E000071,L000589,4
L000589,W000828,2
L000589,W000814,8
G000565,L000589,8
G000593,L000589,2
L000589,L000597,2
G000377,L000589,1
K000398,L000589,2
E000246,L000589,4
J000302,S000929,2
J000302,W000806,3
C001039,J000302,5
J000302,M001177,4
G000596,J000302,4
J000302,M001219,2
J000302,L000585,5
J000302,S000522,2
B001282,J000302,3
J000302,P000599,6
E000071,J000302,4
J000302,W000828,2
J000302,W000814,5
G000565,J000302,5
G000593,J000302,2
J000302,L000597,2
G000377,J000302,1
J000302,K000398,1
E000246,J000302,3
S000929,W000806,2
C001039,S000929,2
M001177,S000929,1
G000596,S000929,1
M001219,S000929,1
L000585,S000929,3
S000522,S000929,2
B001282,S000929,2
P000599,S000929,3
E000071,S000929,1
S000929,W000828,1
S000929,W000814,3
G000565,S000929,2
G000593,S000929,2
L000597,S000929,1
G000377,S000929,1
K000398,S000929,2
E000246,S000929,1
C001039,W000806,4
M001177,W000806,4
G000596,W000806,2
M001219,W000806,3
L000585,W000806,4
S000522,W000806,2
B001282,W000806,3
P000599,W000806,4
E000071,W000806,2
W000806,W000828,2
W000806,W000814,4
G000565,W000806,6
G000593,W000806,2
L000597,W000806,1
G000377,W000806,1
K000398,W000806,2
E000246,W000806,3
C001039,M001177,5
C001039,G000596,4
C001039,M001219,2
C001039,L000585,6
C001039,S000522,3
B001282,C001039,4
C001039,P000599,8
C001039,E000071,4
C001039,W000828,3
C001039,W000814,8
C001039,G000565,7
C001039,G000593,2
C001039,L000597,3
C001039,G000377,1
C001039,K000398,1
C001039,E000246,3
G000596,M001177,4
M001177,M001219,5
L000585,M001177,4
M001177,S000522,1
B001282,M001177,3
M001177,P000599,5
E000071,M001177,3
M001177,W000828,3
M001177,W000814,4
G000565,M001177,5
G000593,M001177,2
L000597,M001177,2
G000377,M001177,1
K000398,M001177,1
E000246,M001177,2
G000596,M001219,2
G000596,L000585,3
G000596,S000522,1
B001282,G000596,2
G000596,P000599,5
E000071,G000596,3
G000596,W000828,2
G000596,W000814,3
G000565,G000596,4
G000593,G000596,2
G000596,L000597,1
G000377,G000596,1
G000596,K000398,1
E000246,G000596,3
L000585,M001219,2
M001219,S000522,1
B001282,M001219,2
M001219,P000599,2
E000071,M001219,2
M001219,W000828,2
M001219,W000814,2
G000565,M001219,3
G000593,M001219,2
L000597,M001219,1
G000377,M001219,1
K000398,M001219,1
E000246,M001219,2
L000585,S000522,2
B001282,L000585,4
